"Domaine","Zone","Quartier","Bloc","Ilot","Nom du secteur fonctionnel","Niveau d'urbanisme","Description","Code Secteur Fonctionnel Interministériel","Nom Long","Eléments justifiants la création du secteur","Couleur","Indice de confiance"
"Ressources & Support","Gestion de la connaissance",,,,"Gestion de la connaissance","Zone","Ensemble des fonctionnalités destinées à pérenniser, réutiliser, valoriser et diffuser les connaissances produites par une organisation afin de mieux les protéger et les valoriser. _x000D_
Ce secteur comporte notamment les fonctions de : _x000D_
-         Collecte, structuration et recherche d’information (avec hashtags, auto-complétion…)_x000D_
-         Publication de contenus :  Micro-blogging, Wiki, éditeur WYSIWYG, Services d’animation et de modération_x000D_
-         Animation de communautés, _x000D_
-         Communication / Outils de lecture / Diffusion de l’information","1FFB-7CC4-56EA-4C3B","Interministériel::POS du SI des Services Publics Français::Ressources & Support::Gestion de la connaissance","Secteur _x000D_
","Vert",
"Données Transverses","Nomenclatures","Nomenclature RH",,,"Nomenclature RH","Quartier",,"45F9-4A40-56F2-0A9C","Interministériel::POS du SI des Services Publics Français::Données Transverses::Nomenclatures::Nomenclature RH",,,
"Ressources & Support","Gestion des Systèmes d'Information et de Communication","Pilotage SI","Plannification stratégique du SI",,"Plannification stratégique du SI","Bloc","Ensemble des fonctionnalités assurant:_x000D_
- la plannification prévisionnelle des évolutions du parc pour une meilleure adaptation aux besoins actuels et une amélioration du parc applicatif. _x000D_
- la stratégie interministérielle de mise en commun progressive du SI de l'Etat pour plus de cohérence. ","8074-8440-56F9-4514","Interministériel::POS du SI des Services Publics Français::Ressources & Support::Gestion des Systèmes d'Information et de Communication::Pilotage SI::Plannification stratégique du SI",,"Vert",
"Ressources & Support","Gestion des Systèmes d'Information et de Communication","Pilotage SI","Gestion du portefeuille applicatif",,"Gestion du portefeuille applicatif","Bloc","Ensemble des fonctionnalités assurant le contrôle et le suivi du processus de transformation, d'optimisation et de transformation du parc applicatif pour: _x000D_
- inventorier les applications (collecter des informations sur les applications)._x000D_
- évaluer le portefeuille (mesurer la valeur métier, la couverture fonctionnelle, le coût des applications)","8074-847D-56F9-45A5","Interministériel::POS du SI des Services Publics Français::Ressources & Support::Gestion des Systèmes d'Information et de Communication::Pilotage SI::Gestion du portefeuille applicatif",,"Vert",
"Ressources & Support","Gestion des Systèmes d'Information et de Communication","Pilotage SI","Gouvernance du portefeuille de projet",,"Gouvernance du portefeuille de projet","Bloc","Ensemble des fonctionnalités assurant:_x000D_
- le suivi du développement et pilotage de la stratégie SI._x000D_
- la réponse aux attentes des directions métiers en terme d'adaptation du système d'information._x000D_
- l'optimisation des processus_x000D_
- la distribution cohérente des rôles entre métiers, DSI, MOE, directions métiers._x000D_
- la mise en place d'une réflexion sur la priorisation des objectifs._x000D_
- l'élaboration de tableaux de bord. _x000D_
- la mise en place d'un plan de communication à l'attention des métiers._x000D_
- arbitrer entre différents scénarios d'évolution du portefeuille applicatif. ","8074-8542-56F9-4684","Interministériel::POS du SI des Services Publics Français::Ressources & Support::Gestion des Systèmes d'Information et de Communication::Pilotage SI::Gouvernance du portefeuille de projet",,"Vert",
"Ressources & Support","Gestion des Systèmes d'Information et de Communication","Soutien aux utilisateurs","Gestion des demandes utilisateurs",,"Gestion des demandes utilisateurs","Bloc","Ensemble des fonctionnalités assurant la mise en place d'un système permettant à toute personne autorisée de signaler une anomalie dans le SI devant être prise en considération par le service de maintenance. ","8074-86D5-56F9-4732","Interministériel::POS du SI des Services Publics Français::Ressources & Support::Gestion des Systèmes d'Information et de Communication::Soutien aux utilisateurs::Gestion des demandes utilisateurs",,"Vert",
"Ressources & Support","Gestion des Systèmes d'Information et de Communication","Soutien aux utilisateurs","Gestion des niveaux de services (SLM)",,"Gestion des niveaux de services (SLM)","Bloc","Ensemble des fonctionnalités visant à définir des objectifs spécifiques sur lesquels les performances des services informatiques sont jugées, dans le but de maintenir et d'améliorer la qualité des services IT. ","8074-8716-56F9-47C1","Interministériel::POS du SI des Services Publics Français::Ressources & Support::Gestion des Systèmes d'Information et de Communication::Soutien aux utilisateurs::Gestion des niveaux de services (SLM)",,"Vert",
"Ressources & Support","Gestion des Systèmes d'Information et de Communication","Etudes, développement et entretien des applications","Conception et codage",,"Conception et codage","Bloc","Ensemble des fonctionnalités assurant:_x000D_
- la gestion de la conception des bases de données et des codes sources._x000D_
- le développement des applications.","8074-87E1-56F9-4861","Interministériel::POS du SI des Services Publics Français::Ressources & Support::Gestion des Systèmes d'Information et de Communication::Etudes, développement et entretien des applications::Conception et codage",,"Vert",
"Ressources & Support","Gestion des Systèmes d'Information et de Communication","Etudes, développement et entretien des applications","Test et intégration",,"Test et intégration","Bloc","Ensemble des fonctionnalités assurant:_x000D_
- l'intégration des applications._x000D_
- les tests de validation._x000D_
- la vérification du bon fonctionnement des applications et du système dans son ensemble avec identification des éventuels problèmes._x000D_
- la vérification de la conformité des applications avec les attentes métiers. ","8074-8829-56F9-4958","Interministériel::POS du SI des Services Publics Français::Ressources & Support::Gestion des Systèmes d'Information et de Communication::Etudes, développement et entretien des applications::Test et intégration",,"Vert",
"Ressources & Support","Gestion des Systèmes d'Information et de Communication","Etudes, développement et entretien des applications","Installation, packaging diffusion et distribution",,"Installation, packaging diffusion et distribution","Bloc","Ensemble des fonctionnalités assurant:_x000D_
- l'installation personnalisée des applications._x000D_
- le contrôle des fonctionnalités offertes aux utilisateurs._x000D_
- le test des installations et désinstallations des applications par le réseau sans altérer le fonctionnement des autres applications. _x000D_
- le contrôle et la formalisation de rapport de faisabilité pour chaque package._x000D_
- le déploiement des applications sur les postes du parc informatique. ","8074-8874-56F9-49F4","Interministériel::POS du SI des Services Publics Français::Ressources & Support::Gestion des Systèmes d'Information et de Communication::Etudes, développement et entretien des applications::Installation, packaging diffusion et distribution",,"Vert",
"Ressources & Support","Gestion des Systèmes d'Information et de Communication","Etudes, développement et entretien des applications","Qualité logicielle",,"Qualité logicielle","Bloc","Ensemble des fonctionnalités assurant la mise en place d'un système permettant l'appréciation globale des logiciels via certains critères (capacité fonctionnelle, facilité d'utilisation, fiabilité, performance...). ","8074-88B4-56F9-4A85","Interministériel::POS du SI des Services Publics Français::Ressources & Support::Gestion des Systèmes d'Information et de Communication::Etudes, développement et entretien des applications::Qualité logicielle",,"Vert",
"Ressources & Support","Gestion des Systèmes d'Information et de Communication","Etudes, développement et entretien des applications","Gestion des évolutions et des anomalies",,"Gestion des évolutions et des anomalies","Bloc","Ensemble des fonctionnalités assurant: _x000D_
- la gestion des adaptations et des demandes de modifications du SI._x000D_
- la priorisation des évolutions du système et des applications._x000D_
- la gestion des déclarations d'anomalies et des corrections. ","8074-88F1-56F9-4B19","Interministériel::POS du SI des Services Publics Français::Ressources & Support::Gestion des Systèmes d'Information et de Communication::Etudes, développement et entretien des applications::Gestion des évolutions et des anomalies",,"Vert",
"Ressources & Support","Gestion des Systèmes d'Information et de Communication","Construction, évolution et Entretien des Infrastructures","Gestion des infrastructures de téléphonie de visioconférence",,"Gestion des infrastructures de téléphonie de visioconférence & réseau","Bloc"," Ensemble des fonctionnalités assurant la gestion du réseau : priorisation des flux et déploiement de pare feu. ","8074-954C-56F9-4CAA","Interministériel::POS du SI des Services Publics Français::Ressources & Support::Gestion des Systèmes d'Information et de Communication::Construction, évolution et Entretien des Infrastructures::Gestion des infrastructures de téléphonie de visioconférence",,"Vert",
"Ressources & Support","Gestion des Systèmes d'Information et de Communication","Construction, évolution et Entretien des Infrastructures","Télédistribution",,"Télédistribution","Bloc","Ensemble des fonctionnalités assurant la mise en place de fichiers d'installation gérant le processus d'installation et de désinstallation des logiciels. ","8074-957B-56F9-4D09","Interministériel::POS du SI des Services Publics Français::Ressources & Support::Gestion des Systèmes d'Information et de Communication::Construction, évolution et Entretien des Infrastructures::Télédistribution",,"Vert",
"Ressources & Support","Gestion des Systèmes d'Information et de Communication","Construction, évolution et Entretien des Infrastructures","Mise à jour à distance",,"Mise à jour à distance","Bloc","Ensemble des fonctionnalités assurant la création et l'envoi des nouvelles versions logicielles. ","8074-9597-56F9-4D5F","Interministériel::POS du SI des Services Publics Français::Ressources & Support::Gestion des Systèmes d'Information et de Communication::Construction, évolution et Entretien des Infrastructures::Mise à jour à distance",,"Vert",
"Ressources & Support","Gestion des Systèmes d'Information et de Communication","Gestion du parc et des configurations","Gestion d'inventaire",,"Gestion d'inventaire","Bloc","Ensemble des fonctionnalités permettant de répertorier l'ensemble des équipements informatiques du ministère (postes de travail, serveurs...) ainsi que leur entrée et sortie. ","8074-9672-56F9-4E9D","Interministériel::POS du SI des Services Publics Français::Ressources & Support::Gestion des Systèmes d'Information et de Communication::Gestion du parc et des configurations::Gestion d'inventaire",,"Vert",
"Ressources & Support","Gestion des Systèmes d'Information et de Communication","Gestion du parc et des configurations","Gestion des configurations",,"Gestion des configurations","Bloc","Ensemble des fonctionnalités assurant:_x000D_
- la description technique du SI._x000D_
- le stockage et traçage de l'ensemble des révisions ou versions (suivi de version de logiciels, ...) de toute information destinée à être utilisée par le SI._x000D_
- la gestion des codes sources. ","8074-96AD-56F9-4F1B","Interministériel::POS du SI des Services Publics Français::Ressources & Support::Gestion des Systèmes d'Information et de Communication::Gestion du parc et des configurations::Gestion des configurations",,"Vert",
"Ressources & Support","Gestion de la sécurité","Sécurité des personnes","Signalement d'alertes ou de situation de danger sur site",,"Signalement d'alertes ou de situation de danger sur site","Bloc","Ensemble des fonctionnalités visant à gérer les systèmes d'alertes permettant de signaler un danger rencontré par les agents au sein d'un établissement. ","ED9A-EEE2-56FC-2212","Interministériel::POS du SI des Services Publics Français::Ressources & Support::Gestion de la sécurité::Sécurité des personnes::Signalement d'alertes ou de situation de danger sur site",,"Vert",
"Ressources & Support","Gestion de la sécurité","Sécurité des personnes","Surveillance des sites",,"Surveillance des sites","Bloc","Ce bloc regroupe les différents SI utilisés pour assurer la sécurité des sites des Ministères (télésurveillance…). ","ED9A-EEF8-56FC-2267","Interministériel::POS du SI des Services Publics Français::Ressources & Support::Gestion de la sécurité::Sécurité des personnes::Surveillance des sites",,"Vert",
"Ressources & Support","Gestion de la sécurité","Sécurité des emprises","Gestion des habilitations sur sites",,"Gestion des habilitations sur sites","Bloc","Ensemble des fonctionnalités visant à gérer les règles d'attribution, de retrait et de contrôle des habilitations permettant l'accès aux bâtiments des Ministères. ","ED9A-EF2A-56FC-22C7","Interministériel::POS du SI des Services Publics Français::Ressources & Support::Gestion de la sécurité::Sécurité des emprises::Gestion des habilitations sur sites",,"Vert",
"Ressources & Support","Gestion de la sécurité","Sécurité des emprises","Contrôle des accès sur sites",,"Contrôle des accès sur sites","Bloc","Ensemble des systèmes destinés à contrôler les accès sur site au regard des habilitations des personnes. ","ED9A-EF5B-56FC-231D","Interministériel::POS du SI des Services Publics Français::Ressources & Support::Gestion de la sécurité::Sécurité des emprises::Contrôle des accès sur sites",,"Vert",
"MEN","Examens et Concours",,,,"Examens et Concours","Zone",,"2B68-2E31-5706-2AC7","Ministères::MENESR::MEN::Examens et Concours",,"Bleu",
"MEN","Inscription des candidats",,,,"Inscription des candidats","Quartier",,"2B68-2E4C-5706-2B92","Ministères::MENESR::MEN::Inscription des candidats",,"Bleu",
"MEN","Organisation des épreuves et affectation",,,,"Organisation des épreuves et affectation","Quartier",,"2B68-2E61-5706-2BE8","Ministères::MENESR::MEN::Organisation des épreuves et affectation",,"Bleu",
"MEN","Gestion des sujets",,,,"Gestion des sujets","Quartier",,"2B68-2E6F-5706-2C3E","Ministères::MENESR::MEN::Gestion des sujets",,"Bleu",
"MEN","Clôture des examens et concours",,,,"Clôture des examens et concours","Quartier",,"2B68-2E80-5706-2C94","Ministères::MENESR::MEN::Clôture des examens et concours",,"Bleu",
"MEN","Gestion des intervenants",,,,"Gestion des intervenants","Bloc",,"6D93-70C4-5706-5194","Ministères::MENESR::MEN::Gestion des intervenants",,"Bleu",
"MEN","Logistique",,,,"Logistique","Quartier",,"6D93-70D8-5706-51EA","Ministères::MENESR::MEN::Logistique",,"Bleu",
"MEN","Commande et livraison de matériel ou des copies",,,,"Commande et livraison de matériel ou des copies","Bloc",,"6D93-70E5-5706-5240","Ministères::MENESR::MEN::Commande et livraison de matériel ou des copies",,"Bleu",
"MEN","Préinscription, inscription et accusé de réception",,,,"Préinscription, inscription et accusé de réception","Bloc",,"6D93-7284-5706-52F0","Ministères::MENESR::MEN::Préinscription, inscription et accusé de réception",,"Bleu",
"MEN","Suivi et pilotage des inscriptions",,,,"Suivi et pilotage des inscriptions","Bloc",,"6D93-7366-5706-535B","Ministères::MENESR::MEN::Suivi et pilotage des inscriptions",,"Rouge",
"MEN","Configuration des examens et concours",,,,"Configuration des examens et concours","Bloc","Gestion de la réglementation (pilote réglementaire)_x000D_
","6D93-7615-5706-5420","Ministères::MENESR::MEN::Configuration des examens et concours",,"Rouge",
"MEN","Expédition des sujets",,,,"Expédition des sujets","Bloc",,"6D93-7732-5706-54F5","Ministères::MENESR::MEN::Expédition des sujets",,"Bleu",
"MEN","Identification des centres",,,,"Identification des centres","Bloc",,"6D93-7778-5706-5551","Ministères::MENESR::MEN::Identification des centres",,"Bleu",
"MEN","Réservation des salles",,,,"Réservation des salles","Bloc",,"6D93-7795-5706-55E0","Ministères::MENESR::MEN::Réservation des salles",,"Bleu",
"MEN","Notation et délibération",,,,"Notation et délibération","Quartier",,"6D93-77E1-5706-563D","Ministères::MENESR::MEN::Notation et délibération",,"Bleu",
"MEN","Notation",,,,"Notation","Bloc",,"6D93-77FF-5706-5693","Ministères::MENESR::MEN::Notation",,"Bleu",
"MEN","Numérisation et anonymisation des copies",,,,"Numérisation et anonymisation des copies","Bloc",,"6D93-781C-5706-56EF","Ministères::MENESR::MEN::Numérisation et anonymisation des copies",,"Bleu",
"MEN","Publication des résultats",,,,"Publication des résultats","Bloc",,"6D93-7832-5706-574B","Ministères::MENESR::MEN::Publication des résultats",,"Bleu",
"MEN","Lotissement et envoi des copies ou dossiers",,,,"Lotissement et envoi des copies ou dossiers","Bloc",,"6D93-78AB-5706-57B9","Ministères::MENESR::MEN::Lotissement et envoi des copies ou dossiers",,"Bleu",
"MEN","Délibération",,,,"Délibération","Bloc",,"6D93-78DF-5706-5815","Ministères::MENESR::MEN::Délibération",,"Bleu",
"MEN","Composition des jurys",,,,"Composition des jurys","Bloc",,"6D93-791D-5706-587D","Ministères::MENESR::MEN::Composition des jurys",,"Bleu",
"MEN","Conception des sujets",,,,"Conception des sujets","Bloc",,"6D93-7956-5706-58D9","Ministères::MENESR::MEN::Conception des sujets",,"Bleu",
"MEN","Affectation des candidats",,,,"Affectation des candidats","Bloc",,"6D93-7994-5706-5935","Ministères::MENESR::MEN::Affectation des candidats",,"Bleu",
"MEN","Suivi de l'avancement des notations, des délibérations,  des certifications",,,,"Suivi de l'avancement des notations, des délibérations,  des certifications","Bloc",,"4E78-96C2-570B-1F4A","Ministères::MENESR::MEN::Suivi de l'avancement des notations, des délibérations,  des certifications",,"Rouge",
"MEN","Edition des listes et étiquettes",,,,"Edition des listes et étiquettes","Bloc",,"A8C0-AF62-570B-11FC","Ministères::MENESR::MEN::Edition des listes et étiquettes",,"Bleu",
"MEN","Admissibilité et classement",,,,"Admissibilité et classement","Bloc",,"9D10-AF52-570C-06BA","Ministères::MENESR::MEN::Admissibilité et classement",,"Bleu",
"MEN","Archivage et édition des copies, dossiers et diplôme",,,,"Archivage et édition des copies, dossiers et diplôme","Bloc",,"9D10-AF8F-570C-0716","Ministères::MENESR::MEN::Archivage et édition des copies, dossiers et diplôme",,"Bleu",
"MEN","Gestion des épreuves",,,,"Gestion des épreuves","Quartier",,"9D10-B53E-570C-08AF","Ministères::MENESR::MEN::Gestion des épreuves",,"Bleu",
"MEN","Emargement",,,,"Emargement","Bloc",,"9D10-B55A-570C-0906","Ministères::MENESR::MEN::Emargement",,"Bleu",
"MEN","Correction des copies",,,,"Correction des copies","Bloc",,"B91B-F1AE-570C-722C","Ministères::MENESR::MEN::Correction des copies",,"Bleu",
"MEN","Certification des aptitudes",,,,"Certification des aptitudes","Bloc",,"F528-FB91-570D-3F92","Ministères::MENESR::MEN::Certification des aptitudes",,"Bleu",
"MEN","Epreuve dématérialisée",,,,"Epreuve dématérialisée","Bloc",,"F528-0937-570E-4217","Ministères::MENESR::MEN::Epreuve dématérialisée",,"Bleu",
"MI","Sécurité Circulation routière","Education routière et permis de conduire",,,"Education routière et permis de conduire","Quartier",,"E9FC-ECC9-5747-7D5D","Interministériel::POS du SI des Services Publics Français::MI::Sécurité Circulation routière::Education routière et permis de conduire",,"Bleu",
"MI","Immigration, asile et intégration","Visas",,,"Visas","Quartier",,"E9FC-ED85-5747-7DCE","Interministériel::POS du SI des Services Publics Français::MI::Immigration, asile et intégration::Visas",,"Bleu",
"MI","Sécurité intérieure","Police des étrangers et transports internationaux",,,"Police des étrangers et transports internationaux","Quartier",,"F002-F372-5747-29A1","Interministériel::POS du SI des Services Publics Français::MI::Sécurité intérieure::Police des étrangers et transports internationaux",,"Bleu",
"Fonctions Transverses Interministérielles","Production et gestion des Titres",,,,"Production et gestion des Titres","Zone",,"253F-2C1B-5797-6AB5","Interministériel::POS du SI des Services Publics Français::Fonctions Transverses Interministérielles::Production et gestion des Titres",,"Bleu",
,,,,,"Administration des biens","Zone",,"0DB1-17BC-57D8-2756","Interministériel::Administration des biens",,"Rouge",
,,,,,"Gestion des actifs","Zone",,"0DB1-17CE-57D8-27AD","Interministériel::Gestion des actifs",,"Rouge",
,,,,,"Gestion technique","Zone",,"0DB1-17F6-57D8-280D","Interministériel::Gestion technique",,"Rouge",
,,,,,"Gestion de projets","Zone",,"0DB1-1809-57D8-2866","Interministériel::Gestion de projets",,"Rouge",
,,,,,"Services transverses","Zone",,"0DB1-181C-57D8-28BD","Interministériel::Services transverses",,"Rouge",
,,,,,"Portail immobilier","Zone",,"0DB1-21A8-57D8-2919","Interministériel::Portail immobilier",,"Rouge",
,,,,,"Référentiels","Zone",,"0DB1-21CB-57D8-2970","Interministériel::Référentiels",,"Rouge",
,,,,,"Suivi des coûts immobiliers","Bloc",,"0DB1-2239-57D8-29CB","Interministériel::Suivi des coûts immobiliers",,"Rouge",
,,,,,"Elaboration et suivi des SPSI et des SDIR","Bloc",,"0DB1-2360-57D8-2ABA","Interministériel::Elaboration et suivi des SPSI et des SDIR",,"Rouge",
,,,,,"Calcul et suivi des indicateurs de la PIE","Bloc",,"0DB1-23A0-57D8-2B19","Interministériel::Calcul et suivi des indicateurs de la PIE",,"Rouge",
,,,,,"Reporting institutionnel / suivi de l'activité","Bloc",,"0DB1-23E0-57D8-2B75","Interministériel::Reporting institutionnel / suivi de l'activité",,"Rouge",
,,,,,"Gestion des contrats d'occupation","Quartier",,"0DB1-2429-57D8-2BD5","Interministériel::Gestion des contrats d'occupation",,"Rouge",
,,,,,"Gestion des sinistres","Quartier",,"0DB1-2484-57D8-2C39","Interministériel::Gestion des sinistres",,"Rouge",
,,,,,"Gestion des états des lieux et autres obligations","Quartier",,"0DB1-24A1-57D8-2C95","Interministériel::Gestion des états des lieux et autres obligations",,"Rouge",
,,,,,"Gestion / suivi des acquisitions","Quartier",,"0DB1-25A6-57D8-2DAE","Interministériel::Gestion / suivi des acquisitions",,"Rouge",
,,,,,"Gestion / suivi des cessions","Quartier",,"0DB1-25E0-57D8-2E0B","Interministériel::Gestion / suivi des cessions",,"Rouge",
,,,,,"Evolution de la performance des biens et gestion des risques associés","Quartier",,"0DB1-2607-57D8-2E67","Interministériel::Evolution de la performance des biens et gestion des risques associés",,"Rouge",
,,,,,"Gestion prévisionnelle des surfaces vacantes","Quartier",,"0DB1-269C-57D8-2F04","Interministériel::Gestion prévisionnelle des surfaces vacantes",,"Rouge",
,,,,,"Evaluation technique / diagnostic des biens","Quartier",,"0DB1-26EC-57D8-2F60","Interministériel::Evaluation technique / diagnostic des biens",,"Rouge",
,,,,,"Suivi des charges et des consommations de fluides","Quartier",,"0DB1-271E-57D8-2FC3","Interministériel::Suivi des charges et des consommations de fluides",,"Rouge",
,,,,,"Gestion des interventions de maintenance / entretien (service aux bâtiments)","Quartier",,"0DB1-2744-57D8-3020","Interministériel::Gestion des interventions de maintenance / entretien (service aux bâtiments)",,"Rouge",
,,,,,"Gestion des services aux occupants","Quartier",,"0DB1-2768-57D8-307C","Interministériel::Gestion des services aux occupants",,"Rouge",
,,,,,"Gestion des plans et de la documentation technique","Quartier",,"0DB1-2780-57D8-30D8","Interministériel::Gestion des plans et de la documentation technique",,"Rouge",
,,,,,"Programmation et suivi des travaux","Quartier",,"0DB1-27C3-57D8-3134","Interministériel::Programmation et suivi des travaux",,"Rouge",
,,,,,"Gestion des contrats d'entretien","Quartier",,"0DB1-27EA-57D8-3190","Interministériel::Gestion des contrats d'entretien",,"Rouge",
,,,,,"Planification et gestion des opérations","Quartier",,"0DB1-287F-57D8-3228","Interministériel::Planification et gestion des opérations",,"Rouge",
,,,,,"Suivi avancement","Quartier",,"0DB1-28D8-57D8-32CA","Interministériel::Suivi avancement",,"Rouge",
,,,,,"Suivi financier","Quartier",,"0DB1-28E4-57D8-3326","Interministériel::Suivi financier",,"Rouge",
,,,,,"Gestion électronique de documents","Quartier",,"0DB1-2990-57D8-3394","Interministériel::Gestion électronique de documents",,"Rouge",
,,,,,"Parcelles cadastrales","Quartier",,"0DB1-2A2D-57D8-348A","Interministériel::Parcelles cadastrales",,"Rouge",
,,,,,"Equipements","Quartier",,"0DB1-2A41-57D8-34E6","Interministériel::Equipements",,"Rouge",
,,,,,"Tiers","Quartier",,"0DB1-2A64-57D8-3542","Interministériel::Tiers",,"Rouge",
,,,,,"Indices / index bâtimentaires","Quartier",,"0DB1-2AC0-57D8-35DF","Interministériel::Indices / index bâtimentaires",,"Rouge",
,,,,,"Système d'information géographique","Quartier",,"0DB1-2C0F-57D8-379A","Interministériel::Système d'information géographique",,"Rouge",
"Constitution du périmètre de collecte",,,,,"Constitution du périmètre de collecte","Bloc",,"853C-8E2D-582C-5A8C","Ministères::MAA::Constitution du périmètre de collecte",,"Bleu",
"Elaboration des outils informatiques de collectes",,,,,"Elaboration des outils informatiques de collectes","Bloc",,"853C-8E5E-582C-5AC8","Ministères::MAA::Elaboration des outils informatiques de collectes",,"Bleu",
"Organisation de la logistique de la collecte et identification des enquêteurs",,,,,"Organisation de la logistique de la collecte et identification des enquêteurs","Bloc",,"853C-8EDA-582C-5B40","Ministères::MAA::Organisation de la logistique de la collecte et identification des enquêteurs",,"Bleu",
"Réalisation de la collecte",,,,,"Réalisation de la collecte","Bloc",,"853C-8F58-582C-5B7D","Ministères::MAA::Réalisation de la collecte",,"Bleu",
"DGDDI","Gestion du contentieux","Constatation",,,"Constatation","Ilot","Gestion des contrôles et des procès-verbaux",,"Ministères::MEF::DGDDI::Gestion du contentieux::Constatation",,"Bleu",
"MEF","Lutte contre la fraude douanière","Contentieux",,,"Contentieux","Quartier","Gestion du contentieux et du recouvrement forcé dans le cadre de la lutte contre la fraude douanière",,"Interministériel::POS du SI des Services Publics Français::MEF::Lutte contre la fraude douanière::Contentieux",,"Bleu",
"MEF","Fiscalité indirecte, Dédouanement et gestion des imports & exports","Contributions indirectes",,,"Contributions indirectes","Quartier","_x000D_
Contrôle et perception des accises : impôts indirects sur les tabacs et alcools, les produits pétroliers ;_x000D_
",,"Interministériel::POS du SI des Services Publics Français::MEF::Fiscalité indirecte, Dédouanement et gestion des imports & exports::Contributions indirectes",,"Bleu",
"MEF","Fiscalité indirecte, Dédouanement et gestion des imports & exports","Dédouanement",,,"Dédouanement","Quartier","contrôle et perception :_x000D_
1) des droits de douane : à l’importation dans l’Union européenne ;_x000D_
2) de la TVA : lorsqu'elle concerne des produits importés des pays tiers à l’Union européenne ;_x000D_
3) Participe au contrôle du recouvrement de la TVA dans les échanges intracommunautaires._x000D_
Ces recettes permettent le financement du budget national (TVA) et Européen (droit de douane).",,"Interministériel::POS du SI des Services Publics Français::MEF::Fiscalité indirecte, Dédouanement et gestion des imports & exports::Dédouanement",,"Bleu",
"DGDDI","Opération","Renseignement",,,"Renseignement","Bloc","Consultation des informations de lutte contre la fraude douanière",,"Ministères::MEF::DGDDI::Opération::Renseignement",,"Bleu",
"DGDDI","Collecte",,,,"Collecte","Bloc",,"75AA-804B-584E-36D1","Ministères::MEF::DGDDI::Collecte",,"Rouge",
"DGDDI","Contrôle",,,,"Contrôle","Bloc",,"75AA-81C7-584E-377A","Ministères::MEF::DGDDI::Contrôle",,"Rouge",
"DGDDI","Diffusion",,,,"Diffusion","Bloc",,"75AA-81DC-584E-37B5","Ministères::MEF::DGDDI::Diffusion",,"Rouge",
"DGDDI","Production",,,,"Production","Bloc",,"75AA-81ED-584E-37F0","Ministères::MEF::DGDDI::Production",,"Rouge",
"DGDDI","Référentiel",,,,"Référentiel","Bloc",,"75AA-820A-584E-382B","Ministères::MEF::DGDDI::Référentiel",,"Rouge",
"DGDDI","Echanges & Relations",,,,"Echanges & Relations","Quartier",,"5156-56C5-5888-64C5","Ministères::MEF::DGDDI::Echanges & Relations",,"Bleu",
"DGDDI","Pilotage & Contrôle",,,,"Pilotage & Contrôle","Quartier",,"5156-56DF-5888-6522","Ministères::MEF::DGDDI::Pilotage & Contrôle",,"Bleu",
"DGDDI","Opération",,,,"Opération","Quartier",,"5156-574B-5888-6593","Ministères::MEF::DGDDI::Opération",,"Bleu",
"DGDDI","Données transverses",,,,"Données transverses","Quartier",,"5156-58F2-5888-66BA","Ministères::MEF::DGDDI::Données transverses",,"Bleu",
"DGDDI","Ressources & Support",,,,"Ressources & Support","Quartier",,"5156-5919-5888-671A","Ministères::MEF::DGDDI::Ressources & Support",,"Bleu",
"DGDDI","Gestion du contentieux",,,,"Gestion du contentieux","Bloc",,"5156-5EEF-5888-6823","Ministères::MEF::DGDDI::Gestion du contentieux",,"Bleu",
"DGDDI","Collecte et validation du renseignement",,,,"Collecte et validation du renseignement","Ilot",,"5156-5F1A-5888-6883","Ministères::MEF::DGDDI::Collecte et validation du renseignement",,"Bleu",
"DGDDI","Renseignement & Contrôle",,,,"Renseignement & Contrôle","Ilot",,"5156-5F57-5888-68E2","Ministères::MEF::DGDDI::Renseignement & Contrôle",,"Bleu",
"DGDDI","Opération & Surveillance",,,,"Opération & Surveillance","Ilot",,"5156-5F67-5888-693E","Ministères::MEF::DGDDI::Opération & Surveillance",,"Bleu",
"DGDDI","Administration du contentieux",,,,"Administration du contentieux","Ilot",,"5156-5FA5-5888-69DF","Ministères::MEF::DGDDI::Administration du contentieux",,"Bleu",
"DGDDI","Recouvrement",,,,"Recouvrement","Ilot",,"5156-5FBD-5888-6A3F","Ministères::MEF::DGDDI::Recouvrement",,"Bleu",
"DGDDI","Echange utilisateur",,,,"Echange utilisateur","Bloc",,"5156-6121-5888-6ACE","Ministères::MEF::DGDDI::Echange utilisateur",,"Bleu",
"DGDDI","Echange avec RH",,,,"Echange avec RH","Bloc",,"5156-61F5-5888-6BA6","Ministères::MEF::DGDDI::Echange avec RH",,"Bleu",
"DGDDI","Echanges avec les instances européennes",,,,"Echanges avec les instances européennes","Bloc",,"5156-6464-5888-6C03","Ministères::MEF::DGDDI::Echanges avec les instances européennes",,"Bleu",
"DGDDI","Echange avec la contribution indirecte",,,,"Echange avec la contribution indirecte","Bloc",,"02F2-5703-588E-30D3","Ministères::MEF::DGDDI::Echange avec la contribution indirecte",,"Bleu",
"DGDDI","Echange avec le dédouanement",,,,"Echange avec le dédouanement","Bloc",,"02F2-5726-588E-3134","Ministères::MEF::DGDDI::Echange avec le dédouanement",,"Bleu",
"DGDDI","Administration",,,,"Administration","Bloc",,"02F2-7930-588E-4DC3","Ministères::MEF::DGDDI::Administration",,"Bleu",
